Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
"Phase, Inc.","Optiphase, Inc.",7652 Haskell Ave,Van Nuys,CA,-,,,,https://legacy.www.sbir.gov/sbirsearch/detail/257933
"Phase, Inc.","Phase, Inc.",11148 Treynorth Dr Ste A,Cornelius,NC,28031-8242,,1.0,KDUMCTBFT188,https://legacy.www.sbir.gov/sbirsearch/detail/1837031
Astek Diagnostics Inc.,ASTEK DIAGNOSTICS INC.,1450 S Rolling Rd,Baltimore,MD,21227-3863,,2.0,,https://legacy.www.sbir.gov/sbirsearch/detail/1833625
Glycan Therapeutics Corporation,GLYCAN THERAPEUTICS CORPORATION,617 Hutton St,Raleigh,NC,27606-6330,https://glycantherapeutics.com,8.0,KYG3DZSMH4R7,https://legacy.www.sbir.gov/sbirsearch/detail/410951
Error Corp.,ERROR CORP.,4405 E West Hwy,Bethesda,MD,20814-4535,,2.0,UAQADPJ23Q97,https://legacy.www.sbir.gov/sbirsearch/detail/1993737
"Weinberg Medical Physics, Inc.","WEINBERG MEDICAL PHYSICS, INC.",12156 Parklawn Dr,Rockville,MD,20852-1708,http://www.weinbergmedicalphysics.com,10.0,K5D7EN4J1FR7,https://legacy.www.sbir.gov/sbirsearch/detail/350068
"Inception Robotics, LLC","INCEPTION ROBOTICS, LLC",4467 Technology Drive,College Park,MD,20742-0001,http://inceptionrobotics.ai/,5.0,WNM4TLXDFJX6,https://legacy.www.sbir.gov/sbirsearch/detail/1975015
"SentiMetrix, Inc","SENTIMETRIX, INC.",6017 Southport Dr,Bethesda,MD,20814-1847,http://www.sentimetrix.com,2.0,QC8LYF3ND8A4,https://legacy.www.sbir.gov/sbirsearch/detail/408439
QubitSolve Inc.,QubitSolve Inc.,2006 White Oak Dr,Morgantown,WV,26505,https://www.qubitsolve.com,1.0,R7ATY9SFJ241,https://legacy.www.sbir.gov/sbirsearch/detail/2251103
Precision Neuroscopics,"Precision Neuroscopics, Inc",4620 Henry St,Pittsburgh,PA,15213-3715,http://www.precisionneuroscopics.com,2.0,D859JD6B6TS6,https://legacy.www.sbir.gov/sbirsearch/detail/1984063
"SinnovaTek, Inc.","SinnovaTek, Inc.",2609 Discovery Dr - Ste 115,Raleigh,NC,27616-1905,http://www.sinnovatek.com,7.0,NBNDLN41NZK7,https://legacy.www.sbir.gov/sbirsearch/detail/1205605
"NextStep Robotics, Inc.","NEXTSTEP ROBOTICS, INC.",800 W Baltimore St Ste 151,Baltimore,MD,21201-1158,https://www.nextsteprobo.com,7.0,F896MG5LQ6R4,https://legacy.www.sbir.gov/sbirsearch/detail/1249621
"Spheringenics, Inc.","Spheringenics, Inc.","800 East Leigh Street, Lab 51",Richmond,VA,23219-1551,http://www.spheringenics.com/,4.0,,https://legacy.www.sbir.gov/sbirsearch/detail/379829
"Hale, Inc.","XHALE, INC.",3630 S.W. 47Th Avenue,Gainesville,FL,32608-,,,,https://legacy.www.sbir.gov/sbirsearch/detail/162376
"Vortex Space Systems, LLC","VORTEX SPACE SYSTEMS, LLC",24225 Welsh Rd,Gaithersburg,MD,20882-3929,,2.0,M2A2NQ91DNM9,https://legacy.www.sbir.gov/sbirsearch/detail/1688959
SecondWrite LLC,SecondWrite LLC,5802 Grosvenor Ln,Bethesda,MD,20814-1836,,3.0,,https://legacy.www.sbir.gov/sbirsearch/detail/401430
