keyword,sam_company,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,congressional_district,state_country_incorporation,match,sam_contacts,sf_company,sf_contacts,matched_company,contact_overlap
"SmartBridge, Inc.",smartbridge inc,MKB1Y6QNVCE7,8HSS3,"400 Cameron STA BLVD STE 323,Alexandria, Virginia,22304-8229, United States","110 Gibbon Street,Alexandria, Virginia,22314, United States",https://www.smartbridgehealth.com/,"Jul 7, 2016",Hua Wang,Hua Wang,"Delaware, United States",Virginia 08,0,['Hua Wang'],smartbridge inc,['Hua Wang'],,['Hua Wang']
"BioBind, Inc.",biobind inc,C1CFE79BEWH6,8GY04,"4620 Henry ST,Oakland, Pennsylvania,15213-3715, United States","4620 Henry ST,Pittsburgh, Pennsylvania,15213-3715, United States",,"Dec 26, 2019",Brian Holt,Brian Holt,"Delaware, United States",Pennsylvania 12,0,['Brian Holt'],biobind inc,"['Brian Holt', 'Anne Arnold']",,['Brian Holt']
Genetoo Inc.,genetoo inc,L72DWU8DNPX1,80JW3,"9841 Washingtonian BLVD STE 200,Gaithersburg, Maryland,20878-7350, United States","9841 Washingtonian BLVD,#200,Gaithersburg, Maryland,20878-5333, United States",http://www.genetoo.com/,"Mar 28, 2017","Christopher Whitman, CEO","Christopher Whitman, CEO","Delaware, United States",Maryland 06,0,['Christopher Whitman'],genetoo inc,['Christopher Whitman'],,['Christopher Whitman']
Brian Jordan,brian jordan,X3BGSK661GQ3,9ZK55,"19261 Nuthatch ST,Perris, California,92570-6520, United States","19261 Nuthatch ST,Perris, California,92570, United States",,"Jan 5, 2005","Kenya Y Jackson Jordan, Operations Manager","Brian E Jordan, Owner/CEO","(blank), (blank)",California 39,0,"['Kenya Jackson', 'Brian Jordan']",brian jordan,['Brian Jordan'],,['Brian Jordan']
"Quantum Senses, LLC",quantum senses llc,N7FNYK656DP9,9SMF5,"13701 Hebron LN,Upper Marlboro, Maryland,20774-8462, United States","13701 Hebron LN,Upper Marlboro, Maryland,20774-8462, United States",https://theearcoustic.com/,"Jul 30, 2021","Justin Lee, CEO","Justin Lee, CEO","Maryland, United States",Maryland 05,0,['Justin Lee'],quantum senses llc,['Justin Lee'],,['Justin Lee']
Humimic Biosystems LLC,humimic biosystems llc,TEN8SS2H6NZ4,9W0M0,"14 E Martin Luther King Jr BLVD,Fayetteville, Arkansas,72701-6501, United States","14 E Martin Luther King Jr BLVD,Fayetteville, Arkansas,72701-6501, United States",,"Dec 22, 2023","Alexis P Applequist, Co-Founder and CEO","Alexis P Applequist, Co-Founder and CEO","Arkansas, United States",Arkansas 03,0,['Alexis Applequist'],humimic biosystems llc,['Alexis Applequist'],,['Alexis Applequist']
"Electro-Media Design, Ltd.",electromedia design ltd,FRDDXKG3BDJ9,07EP7,"973 Russell AVE,STE C,Gaithersburg, Maryland,20879-3292, United States","973 Russell AVE STE C,Gaithersburg, Maryland,20879-3292, United States",http://www.electro-media.com/,"Jan 1, 1990",Robert C Hendricks,Robert Hendricks,"Maryland, United States",Maryland 06,0,['Robert Hendricks'],electromedia design ltd,['Robert Hendricks'],,['Robert Hendricks']
RemBac Environmental,rembac environmental llc,ESU1JMK4DYJ4,8CCL6,"3140 Edgewood RD,Ellicott City, Maryland,21043-3420, United States","3140 Edgewood RD,Ellicott City, Maryland,21043-3420, United States",https://www.rembac.com/,"Aug 31, 2017",Kevin R Sowers,Kevin R Sowers,Maryland 03,"Maryland, United States",1,['Kevin Sowers'],rembac environmental,['Kevin Sowers'],rembac environmental,['Kevin Sowers']
Syzygy Optics Inc.,syzygy optics llc,EVVCNB5YZUS3,,"536 Meadow Run,Chapel Hill, North Carolina,27517-8022, United States","536 Meadow Run,Chapel Hill, North Carolina,27517, United States",,"Jan 7, 2010",Mike Sullivan,Mike Sullivan,North Carolina 09,"North Carolina, United States",1,['Mike Sullivan'],syzygy optics inc,['Mike Sullivan'],syzygy optics inc,['Mike Sullivan']
Ionic Devices,ionic devices inc,WKDMT9PHX1N7,,"3417 Tulane DR APT 2,Hyattsville, Maryland,20783-1832, United States","3417 Tulane DR APT 2,Hyattsville, Maryland,20783-1832, United States",https://www.ionic-devices.com/,"Feb 22, 2023","Keith E Gregorczyk, CEO","Keith E Gregorczyk, CEO",Maryland 04,"Maryland, United States",1,['Keith Gregorczyk'],ionic devices,['Keith Gregorczyk'],ionic devices,['Keith Gregorczyk']
